Topic,Count,Name,Representation,Representative_Docs
-1,29794,-1_크림_스킨_클렌징_순하다,"['크림', '스킨', '클렌징', '순하다', '선물', '수분', '샘플', '세안', '가격', '자극']","['예전 크림 스킨 처음 출시 획기적 크림 스킨 접목 미스트 펌프 구성 건조 크림 미스트 리필 샘플 구성 가성비', '프리몌라 수분 크림 최고 수분 크림 세일 흡수 프리 순하다 추가 사은품', '건조 수분 크림 브랜드 저렴하다 가격 효과 기대 기대 이상 얼굴 아침 수분 탄력 크림 이상 만족 저녁 마무리 크림 롤링 올겨울']"
0,6319,0_염색_색상_입술_컬러,"['염색', '색상', '입술', '컬러', '립밤', '염색약', '새치', '예쁘다', '자연', '립스틱']","['우아체 새치 크림 염색약 색깔 오렌지 브라운 예쁘다 염색 포장 가능 염색 두피 자극 염색', '발림 립밤 프리 입술 자연 생기 건강 예쁘다 핑크 입술 표현 혈색 핑크 설명 립밤 입술 진하다 컬러', '두피 편하다 염색 염색약 염색 컬러 자연 지속 가격 피부 자극']"
1,5449,1_샴푸_머리_두피_머리카락,"['샴푸', '머리', '두피', '머리카락', '헤어', '탈모', '트리트먼트', '에이치', '라보', '리필']","['라보 에이치 두피 강화 클리닉 노세 샴푸 샴푸 라보 에이치 두피 강화 클리닉 노세 샴푸 나머지 라보 에이치 탈모 샴푸 샴푸 탈모 도움 샴푸', '두피 머리 도움 샴푸 아모레 라보 에이치 두피 강화 샴푸 효과 머리 이전 샴푸', '두피 머리 도움 샴푸 아모레 라보 에이치 두피 강화 샴푸 효과 머리 이전 샴푸']"
2,5274,2_순하다_머리_선물_배송,"['순하다', '머리', '선물', '배송', '빠르다', '조아', '커버', '머릿결', '구입', '남편']","['순하다 순하다', '배송 빠르다 선물 만족', '선물 발림 순하다 만족']"
3,4096,3_세안_자극_클렌징_트러블,"['세안', '자극', '클렌징', '트러블', '탄력', '효과', '흡수', '수분', '화장', '제거']","['피부 수분 수분 크림 스킨 크림 스킨 처음 출시 리뉴얼 동안 쭈우욱 피부 기초 단계 화장 피부 정리 크림 스킨 피부 수분 화장 패드 양쪽 이마 건조 피부과 다년 피부 피부 장벽 탄탄하다 수분 모공 하루 종일 피부 건조 착하다 보습 스킨 얼마 리뉴얼 용기 디자인 용량 피부 기초 케어 스킨 단계 중요 스킨 신중 크림 스킨 정착 크림 스킨 보습 탄력 장벽 케어 장점', '아크네 클렌징 결과 만족 처음 거품 피부 세안 메이크업 잔여 제거 피부 건조 유지 세안 편안 자극 세안 피부 주변 추천', '클렌징 오일 세정 뛰어나다 메이크업 만족 워터프루프 제거 피부 자극 세안 피부 건조 유지 순하다']"
4,2371,4_겨울_여름_겨울철_가을,"['겨울', '여름', '겨울철', '가을', '스킨', '로션', '계절', '보습', '크림', '날씨']","['겨울 건조', '수분 크림 사시사철 만족 여름 겨울 겨울 여름 기름지다 계절 트러블 평균 이상 수분 크림', '수분 크림 사시사철 만족 여름 겨울 겨울 여름 기름지다 계절 트러블 평균 이상 수분 크림']"
5,2183,5_가격_할인_쿠폰_저렴하다,"['가격', '할인', '쿠폰', '저렴하다', '아모레', '샘플', '비싸다', '구입', '포인트', '배송']","['리필 가격 아모레 구입 처음 세트 구성 가격 요즘 비싸다 리필 가격 두피 자극 머릿결', '설화 가격 부담 아세폐 할인 구입 쿠폰 크림 구입 키르기스스탄 리뉴얼 기대', '피부 건성 세안 걱정 세안 편하다 포인트 가격 저렴하다 구입 포인트 환급 다양 샘플 감사 정품 가격 비싸다 할인 쿠폰']"
6,2094,6_최고_크림_테이크_스킨,"['최고', '크림', '테이크', '스킨', '선물', '아모레', '예쁘다', '향수', '순하다', '설화']","['크림 스킨 화장 흡수 화장 친구 선물 가을 겨울 보습 미스트 펌프 편하다 세안 보습', '여름 수분 크림 스킨 앰플 흡수 로션 화장 건성 크림 부담 라인 정착', '설화 타입 피부 순하다 촉촉하다 피부 가격 비싸다 아모레 할인 샘플 요즘 세일']"
7,1827,7_테이크_우드_향수_헤어,"['테이크', '우드', '향수', '헤어', '블랙', '키트', '피그', '퍼퓸', '오일', '바질']","['우드 추천 테이크 괜찮다', '우드 추천 테이크 괜찮다', '테이크 우드 오드퍼퓸']"
8,1308,8_썬크림_크림_자외선_차단,"['썬크림', '크림', '자외선', '차단', '시리다', '현상', '광채', '감국', '프리', '캡슐']","['썬크림 피부 순하다 편하다 썬크림 썬크림 특유 썬크림 지금 구입 샘플 종류 추천', '아이 썬크림 프리 썬크림 백태 심하다 프리 썬크림 행사', '설화 썬크림 샘플 피부 트러블 순하다 발림 괜찮다 만족 자외선 차단 만족']"
9,1239,9_마스크_시트_리퀴드_로즈,"['마스크', '시트', '리퀴드', '로즈', '바이오', '밀착', '에센스', '컨디셔닝', '플로라', '하이드']","['마스크 얼굴 착용감 촉촉하다', '마스크 봉투 유자 유자 마스크 에센스 마스크 젤리 마스크 처음 얼굴 밀착 밀착 마스크 동안 에센스 마스크 밀착 피부 유자 쫀쫀 피부 동안 편하다 에센스 얼굴 에센스 흡수 에센스 흡수 마스크 봉지 에센스 사방 오래간만 마스크 마스크 피부 진정', '마스크 괜찮다']"
10,1208,10_향수_냄새_강하다_향기,"['향수', '냄새', '강하다', '향기', '거품', '처음', '호불호', '지속', '취향', '기분']","['트러블 순하다 편안 향수 강하다 냄새 레몬 약하다 고급 향수', '향수 향기 향수 지속', '곱슬머리 효과 냄새 개인 향기 실리콘 냄새 기대 만족 두피 조금 피부 자극']"
11,698,11_샤워_바디워시_레몬_욕실,"['샤워', '바디워시', '레몬', '욕실', '거품', '기분', '바디', '해피', '바스', '향기']","['샤워', '샤워', '샤워 피부']"
12,470,12_핸드_크림_유자_보습,"['핸드', '크림', '유자', '보습', '미스트', '흡수', '달빛', '감국', '휴대', '제형']","['세라마이드 핸드 크림 핸드 크림 선택 신경 핸드 크림 흡수', '핸드 크림 핸드 크림 판매 만족 회사 눈치 핸드 크림 최고 아이템 핸드 크림 강하다 핸드 크림 눈치', '핸드 크림 보습']"
13,420,13_남성_화장품_남자_남편,"['남성', '화장품', '남자', '남편', '선물', '인원', '아버지', '아빠', '오딧세이', '설화']","['남자 샨뜻 남편 아버님 선물 근거 가족 설화 뿌듯햐 남자 화장품', '아빠 화장품 단점 남성 뛰어나다 남자 화장품 스킨 로션 라인 귀찮다 남자', '남편 화장품 구입 남편 피부 건조 설화 남성 화장품 이후 피부']"
14,328,14_선물_설화_엄마_어머니,"['선물', '설화', '엄마', '어머니', '포장', '어르신', '쇼핑백', '세트', '명절', '추석']","['선물', '선물 만족', '선물']"
15,304,15_아이_가족_아기_아들,"['아이', '가족', '아기', '아들', '순하다', '워시', '사춘기', '용량', '거품', '어른']","['아이', '아이 가족 알밎고 아이 순하다 가족 용량 리필 구비 트러블', '용량 아이 가족 아이 인원 워시 샴푸 편하다']"
16,289,16_바이오_컨디셔닝_에센스_항산화,"['바이오', '컨디셔닝', '에센스', '항산화', '세안', '클렌저', '단계', 'ml', '컨디션', '성분']","['바이오 컨디셔닝 에센스 샘플 바이오 에센스 순하다 거품 세안 펌프', '바이오 컨디셔닝 에센스 ml 바이오 컨디셔닝 에센스 가을 겨울 만족 바이오 컨디셔닝 에센스 바이오 컨디셔닝 에센스 추천', '바이오 컨디셔닝 에센스 바이오 컨디셔닝 에센스 용량 워터 에센스 겨울 퍼스트 에센스 바이오 컨디셔닝 에센스 바이오 컨디셔닝 에센스 추천']"
17,237,17_크림_워터_알파인_수분,"['크림', '워터', '알파인', '수분', '프리', '베리', 'ml', '아모레퍼시픽', '튜브', '샘플']","['프리 알파인 베리 워터 수분 크림 행사 저렴하다 사은품 수달 파우치 샘플 다양 프리 알파인 베리 워터 수분 크림 발림 마무리 아침 저녁 수분 크림', '프리 알파인 베리 워터 크림 수분 크림 튜브 용기 편하다 수분 유지 프리 순하다 알파인 베리 워터 크림', '수분 크림 프리 알파인 베리 워터 크림 정착 수분 크림 프리']"
18,215,18_엄마_어머니_화장품_설화,"['엄마', '어머니', '화장품', '설화', '선물', '나이', '부모', '윤조', '자음', '탄력']","['윤조 에센스 사은품 엄마 선물 이제 엄마 엄마 화장품 이용', '엄마 선물 나이 화장품 설화 바까 피부', '엄마 선물 엄마 피부 건조 엄마 만족 기분 엄마 화장품 선물 설화']"
19,208,19_감사_다음_라이브_혜택,"['감사', '다음', '라이브', '혜택', '사은품', '선물', '여행', '행사', '아모레', '합격']","['선물 감사 주변 추천 추가 감사 하루', '선물 감사 선물 선물 감사 선물', '선물 감사 선물 선물 감사 선물']"
20,160,20_아침_저녁_세안_각질,"['아침', '저녁', '세안', '각질', '화장', '효과', '오전', '세럼', '슬리핑', '데일리']","['보긎 지속려 아침 보긎 지속려 아침', '기대 만족 아침 저녁 크림 데일리 세안 추천', '아침 세안 클렌저 필요 아침 저녁 자극 클렌징 각질 제거제 성분 건조']"
21,156,21_로맨틱_오딧세이_스페셜_리파이너,"['로맨틱', '오딧세이', '스페셜', '리파이너', '세트', '스킨', '고급', '선물', '셋트', '남성']","['오딧세이 로맨틱 스페셜 세트 가격 혜택 추천 보습 진정 효과 패키지 고급 스킨 에멀전 클렌징 트레블키트 구성 오딧세이 로맨틱 세트 추천', '스킨 로션 오딧세이 로맨틱 스킨 리파이너 오딧세이 로맨틱 라인 만족 오딧세이 로맨틱 라인', '스킨 로션 오딧세이 로맨틱 스킨 리파이너 오딧세이 로맨틱 라인 만족 오딧세이 로맨틱 라인']"
22,155,22_자초_립밤_마스크_유자,"['자초', '립밤', '마스크', '유자', '좁쌀', '어리다', '자연', '서리', '보습', '입술']","['핸드 크림 유자 자초 서리 자초 요즘 날씨 코로나 시국 소독제 세정 건조 자초 꾸덕 제형 흡수 빠르다 보습', '순하다 피부 이용 입술 건조 립밤 촉촉하다 가격 착하다 자초 어리다 자연 다음 서리 태도', '가성비 립밤 자초 내츄럴 필요 자연 보습 만족 겨울 입술']"
23,152,23_샴푸_여름_시원하다_청량감,"['샴푸', '여름', '시원하다', '청량감', '두피', '중성', '습하다', '라보', '퍼퓸', '거품']","['여름 샴푸 용량 만족', '여름 샴푸 샴푸', '여름 샴푸 샴푸']"
24,135,24_조아요_환경_선물_도움,"['조아요', '환경', '선물', '도움', '리필', 'ap', '아들', '신랑', '감사', '딸아이']","['환경 리필 최고', '리필 조아요 환경 도움 리필 조아요 환경 도움 리필 조아요 환경 도움 리필 조아요 환경 도움 리필 조아요 환경 도움 리필 조아요 환경 도움', '리필 조아요 환경 도움 리필 조아요 환경 도움 리필 조아요 환경 도움 리필 조아요 환경 도움 리필 조아요 환경 도움 리필 조아요 환경 도움']"
25,114,25_퍼펙트_세럼_광채_기획,"['퍼펙트', '세럼', '광채', '기획', '탄력', '주름', 'new', '트리플', '잔주름', '시그니처']","['퍼펙트 시그니처 세럼 주름 개선 탄력 광채 효과 제형 세럼 포함 적용 세럼 효과 극대 만족', '퍼펙트 세럼 어드밴스드 기획 세트 피부 모공 보습 촉촉하다 흡수 크림 피부 쫀쫀 주름 탄력 광채 관리 의사', '퍼펙트 세럼 어드밴스드 기획 세트 피부 모공 보습 촉촉하다 흡수 크림 피부 쫀쫀 주름 탄력 광채 관리 의사']"
26,109,26_워시_핸드_버블_해피,"['워시', '핸드', '버블', '해피', '바스', '자극', '거품', '비누', '세정제', '세정']","['핸드 워시', '해피 바스 자극 버블 핸드 워시 ml 핸드 워시 중요 자극 보습 도움 청결 유지 핸드 워시', '해피 바스 자극 버블 핸드 워시 ml 가족 핸드 워시 용량 불편 귀찮다 해피 바스 자극 버블 핸드 워시 용량 자극 안심']"
27,107,27_커버_주름_표현_트러블,"['커버', '주름', '표현', '트러블', '진정', '탱글', '마사지', '쿠션', '글로시', '광채']","['블랙 쿠션 겨울 글로시 블랙 촉촉하다 제형 글로시 파데 특성 커버 얼굴 터치 조심 오랜만 피부 커버 브러쉬 균일', '세럼 피부 주름 개선 도움 나이 주름 모공 힘드러요 마사지 관리 피부', '세럼 피부 주름 개선 도움 나이 주름 모공 힘드러요 마사지 관리 피부']"
28,97,28_복합_프로바이오틱스_앰프_순하다,"['복합', '프로바이오틱스', '앰프', '순하다', '정상', '트러블', '탄력', '편리', '유튜버', '세라마이드']","['프로바이오틱스 세라마이드 앰플 마스크 프로바이오틱스 세라마이드 앰플 마스크 프로바이오틱스 세라마이드 앰플 마스크 프로바이오틱스 세라마이드 앰플 마스크', '특이 에센스 동시 주름 탄력 광채 해결 복합 세럼', '특이 에센스 동시 주름 탄력 광채 해결 복합 세럼']"
29,92,29_패드_모공_부들_수축,"['패드', '모공', '부들', '수축', '모양', '유자', '달빛', '관련', '고민', '나비']","['패드 부들 패드 지금 패드 패드 부들 패드 얼굴 촉촉하다 수분 화장', '타사 패드 피부 모공 패드 모공 고민 관리 패드 마스크 닦토로 패드', '패드 마니아 개봉 패드 패드 얼굴 어리다 패드 모공 고민 부들 패드']"
30,90,30_리필_출시_애용_이용,"['리필', '출시', '애용', '이용', '이만하다', '가치', '가성비', '최애', '보호', '스타일']","['리필 리필 환경 보호 리필 리필', '리필 출시 리필 출시 리필 출시 리필 출시 리필 출시', '리필 출시 리필 출시 리필 출시 리필 출시 리필 출시']"
31,86,31_프로바이오틱스_리파이너_ml_세라마이드,"['프로바이오틱스', '리파이너', 'ml', '세라마이드', '로맨틱', '오딧세이', '세트', '흡수', '에멀젼', '트리플']","['오딧세이 로맨틱 스킨 리파이너 ml 흡수', '오딧세이 로맨틱 스킨 리파이너 ml 흡수', '오딧세이 로맨틱 스킨 리파이너 ml 흡수']"
32,84,32_뚜껑_커버_쿠션_모공,"['뚜껑', '커버', '쿠션', '모공', '파우더', '브러쉬', '프라이머', '밀착', '클렌징', '브러시']","['수부 피부 자극 트러블 메이크업 롤링 블랙 헤드 효과 뚜껑 개봉 뚜껑 뚜껑 뚜껑 뚜껑 뚜껑 사진 뚜껑 스파츌라 클렌징 튜브 뚜껑 스파츌라 가격 단점 메이크업 추가 세안 밴드', '수부 피부 자극 트러블 메이크업 롤링 블랙 헤드 효과 뚜껑 개봉 뚜껑 뚜껑 뚜껑 뚜껑 뚜껑 사진 뚜껑 스파츌라 클렌징 튜브 뚜껑 스파츌라 가격 단점 메이크업 추가 세안 밴드', '모공 커버 파우더 유분 매트 내장 브러쉬 적용 프라이머 파우더 밀착 쿠션 커버']"
33,84,33_에디션_라이터_하이_예쁘다,"['에디션', '라이터', '하이', '예쁘다', '쿠션', '벨벳', '컬러', '케이스', '색상', '커버']","['헤이베스티 컬러 갤럭시 에디션 케이스 블링블링 예쁘다 색상 색상 색상 예쁘다 지속', '홀리데이 컬렉션 갤럭시 에디션 예쁘다 갤럭시 에디션 스트로 하이 라이터 갤럭시 패키지 예쁘다 하이 라이터 예쁘다 블링블링 광택 블루 투명 케이스 예쁘다', '홀리데이 컬렉션 갤럭시 에디션 예쁘다 갤럭시 에디션 스트로 하이 라이터 갤럭시 패키지 예쁘다 하이 라이터 예쁘다 블링블링 광택 블루 투명 케이스 예쁘다']"
34,84,34_디자인_여성_향기_아이템,"['디자인', '여성', '향기', '아이템', '유용', '시트러스', '기능', '거품', '힐링', '휴대']","['여성 우드 우드 지인 남자 향수 고체 향수 지속', '코스메틱 파우치 오전 손목 뒷목 레이어드 매력 유니섹스 여성 여성 휴대 최고 장점', '코스메틱 파우치 오전 손목 뒷목 레이어드 매력 유니섹스 여성 여성 휴대 최고 장점']"
35,79,35_롤링_클렌징_오일_거품,"['롤링', '클렌징', '오일', '거품', '얼굴', '메이크업', '세안', '마사지', '잔여', '워터']","['사용법 오일 펌핑 롤링 메이크업 얼굴 롤링 순간 비누 퍽퍽하다 롤링 상태 자극 롤링 상태 거품 세안 거품 오일 상태 메이크업 클렌징', '일반 타입 클렌징 오일 클렌징 오일 타입 클렌징 사이 타입 클렌징 롤링 도포 롤링 아이 페이스 메이크업 대부분 약간 롤링 오일 약간 거품 생성 메이크업 잔여 일반 클렌징 오일 다르다 마무리 기존 클렌징 오일 강하다 세안 클렌징 세안 세정 기본 메이크업 세정 마무리 마무리 크림 베이스 메이크업 추후 의사', '클렌징 오일 롤링 강하다 피부 롤링 오일 롤링 거품 클렌징 오일 잔여 거품 세안 세안 개운하다 렉스 인공']"
36,77,36_쿠션_블랙_커버_매트,"['쿠션', '블랙', '커버', '매트', '검정', '표현', '예쁘다', '파운데이션', '피부색', '글로시']","['얼굴 블랙 쿠션 허락 지성 파운데이션 블랙 쿠션 커버', '피부 타입 지성 블랙 쿠션 쿠션 블랙 쿠션 비교 쿠션 절제 파데 쿠션 지성 피부 감안 쿠션 보통 광채 쿠션 개기름 만족 블랙 쿠션 커버 피부 보정 블랙 쿠션 피부 쿠션 피부 기름지다 복합 적합 예쁘다 다크닝 중요 블랙 쿠션 쿠션', '블랙 쿠션 구장 겨울 건조 블랙 쿠션 가격 블랙 쿠션 커버 쿠션 지속 블랙 쿠션 촉촉하다 단점 블랙 쿠션 건성 겨울 쿠션 절기']"
37,75,37_소프너_세라마이드_가격_금액,"['소프너', '세라마이드', '가격', '금액', '어플', '재미', '혜택', '아모레', '저렴하다', '쿠션']","['아모레퍼시픽 각종 혜택 뷰티템 재미 아모레 어플 조아요 아모레퍼시픽 각종 혜택 뷰티템 재미 아모레 어플 조아', '모이스처 세라마이드 스킨 소프너 모이스처 세라마이드 스킨 소프너 스킨 소프너 세라마이드 모이스처 수분 수부 스킨 소프너 모이스처 세라마이드 모이스처 세라마이드 스킨 소프너', '모이스처 세라마이드 스킨 소프너 모이스처 세라마이드 스킨 소프너 스킨 소프너 세라마이드 모이스처 수분 수부 스킨 소프너 모이스처 세라마이드 모이스처 세라마이드 스킨 소프너']"
38,74,38_감사_에센스_엄마_인테리어,"['감사', '에센스', '엄마', '인테리어', '키트', '포장', '비싸다', '로션', '세일', '순하다']","['테이트 솔리드 퍼퓸 디스커버리 키트 테이크 휴대 체험 키트 휴대 사이즈 우디 개인차 호불호 시향 추천 개인 우디 바질 베티버 무화과 휴대', '필요 화장품 소품 종류 세일 배송 물건 감사 포장 비닐 종이 완충 포장 분리 배출 편하다 감사', '필요 화장품 소품 종류 세일 배송 물건 감사 포장 비닐 종이 완충 포장 분리 배출 편하다 감사']"
39,73,39_송담_의사_라보_핑크,"['송담', '의사', '라보', '핑크', '샘플', '여행', '환절기', '요즘', '유발', '강화']","['라보 라인 두피 강화 남편 샴푸 피드백 모발 강화 라인 기대', '케이스 핑크 핑크 이쁘다 흡수 겨울 환절기 의사', '케이스 핑크 핑크 이쁘다 흡수 겨울 환절기 의사']"
40,72,40_휴대_향수_고체_테스트,"['휴대', '향수', '고체', '테스트', '크기', '용량', '종류', '부담', '매력', '품절']","['개성 다르다 기분 상황 가격 미니 버전 출시 경험 지난번 품절 크기 고체 향수 지속 향기 매력', '휴대 향수 고체 걱정 너뮤 매력 용량 휴대 만점 할인', '휴대 향수 고체 걱정 너뮤 매력 용량 휴대 만점 할인']"
41,66,41_조아_체크_무난하다_엄마,"['조아', '체크', '무난하다', '엄마', '선물', '오딧세이', '이상', '히알루론산', '에이치', '행복']","['조아', '조아', '조아']"
42,64,42_두피_테이크_바질_청결,"['두피', '테이크', '바질', '청결', '기분', '시원하다', '남성분', '향수', '조아', '향기']","['우드 조아 다르다 만족 촉촉하다 샤워 향기 머리 기분 싸구려 자연 테이크 조은 만족', '향수 추천 최고 기분 조아 이름 테이크 조켓어요 향수', '향수 추천 최고 기분 조아 이름 테이크 조켓어요 향수']"
43,64,43_감사_배송_빠르다_수고,"['감사', '배송', '빠르다', '수고', '부탁', '사진', '맛집', '한국', '안녕', '무료']","['감사', '감사 감사', '감사']"
44,58,44_기한_유통_에어리_넉넉하다,"['기한', '유통', '에어리', '넉넉하다', '운동', '선물', '베티버', '하이드', 'ml', 'new']","['유통 기한 샘플 테스트 괜찮다', '유통 기한 샘플 테스트 괜찮다', '빠르다 흡수 유통 기한 최고 구입']"
45,57,45_유튜브_유튜버_화장_극찬,"['유튜브', '유튜버', '화장', '극찬', '스킨케어', '시트', '개발', '유명', '기초', '크림']","['유튜브 발림 촉촉하다 건조 화장 괜찮다 시리다 트러블', '원지 유튜브 아모레 판매 유튜브 에센스 썬크림 기초 화장품 발림', '원지 유튜브 아모레 판매 유튜브 에센스 썬크림 기초 화장품 발림']"
46,55,46_감사_조아요_조아_택배,"['감사', '조아요', '조아', '택배', '미니', '배송', '빠르다', '라이브', '가격대', '불만']","['조아요 감사 조아 조아요 감사 조아 조아요 감사 조아 조아요 감사 조아 조아요 감사', '조아요 감사 조아 조아요 감사 조아 조아요 감사 조아 조아요 감사 조아 조아요 감사', '조아요 감사 남편 감사 거지 감사 쓸모 감사 감사 감사']"
47,55,47_아모레퍼시픽_이벤트_이탈_슈퍼,"['아모레퍼시픽', '이벤트', '이탈', '슈퍼', '세트', 'spf', '적극', '배송', '블루', '빠르다']","['슈퍼 이탈 기초 세트 만족 아모레퍼시픽 배송 빠르다 이벤트 적극 추천', '슈퍼 이탈 세트 촉촉하다 만족 아모레퍼시픽 배송 빠르다 이벤트 추천', '슈퍼 이탈 기초 세트 촉촉하다 만족 아모레퍼시픽 배송 빠르다 이벤트 추천']"
48,54,48_이제_건성_민감_마무리,"['이제', '건성', '민감', '마무리', '세정', '각질', '신경', '토너', '후기', '충전']","['처음 화장 차이 후기 이제 유목민 크림 심하다 거울 해결 이제 이후 시작 화장 이제', '응모 당첨 결론 세정 발림 민트 단어 건성 순간 유화 과정 건조 참고 블랙 헤드 정돈 드라마틱 후기 출시 기념 세안 밴드 후기', '응모 당첨 결론 세정 발림 민트 단어 건성 순간 유화 과정 건조 참고 블랙 헤드 정돈 드라마틱 후기 출시 기념 세안 밴드 후기']"
49,54,49_그린티_이니스프리_초록색_그린,"['그린티', '이니스프리', '초록색', '그린', '라인', '밀크', '세라마이드', '리필', '크림', '버터']","['그린티 크림 버터 크림 신상 이니스프리 그린티 라인 유명 리치 촉촉하다 쫀쫀 보습 나이트 케어', '이니스프리 그린티 세라마이드 크림 순하다 예전 그린티 크림 단종 유목민 나쁘다 겨울 오일', '스프 그린티 세라마이드 크림 출시 세라미이드 성분 그린티 크림 튜브 타입 고민 타입 그린티 히아루론 크림 자루']"
50,53,50_표현_터치_글로시_커버,"['표현', '터치', '글로시', '커버', '쿠션', '가능', '파우치', '사은품', '밀착', '잡티']","['빠르다 배송 촉촉하다 커버 블랙 쿠션 밀착 커버 글로시 표현 사은품 란제리 블러 터치 표현 가능 파우치 편하다', '쿠션 커버 글로시 표현 사은품 란제리 블러 터치 표현 가능 파우치 편하다', '쿠션 촉촉하다 커버 글로시 표현 사은품 란제리 블러 터치 표현 가능 파우치 편하다']"
51,52,51_테이크_우드_향수_바디워시,"['테이크', '우드', '향수', '바디워시', '브랜드', '헤어', '우디', '통일', '오일', '후회']","['테이크 헤어 오일', '테이크', '테이크']"
52,51,52_배송_빠르다_안전_포장,"['배송', '빠르다', '안전', '포장', '중성', '유효', '향기', '상자', '칭찬', '계속']","['배송 빠르다 촉촉하다', '배송 빠르다', '배송 빠르다']"
